"Story","Title","Result","Date","Stability","Duration (s)"
"Git hub user test","Testing GET /users/{user_id} endpoint","SUCCESS","2021-04-16T09:40:13.522-05:00[America/Chicago]","0.0","3.81"
"Git hub user test","Test git hub user2","SUCCESS","2021-04-16T09:40:17.333-05:00[America/Chicago]","0.0","1.35"
"Git hub user test","Test git hub user3","SUCCESS","2021-04-16T09:40:18.684-05:00[America/Chicago]","0.0","0.6"
"Spartan admin test","Test public user GET /spartans endpoint","SUCCESS","2021-04-16T09:40:21.032-05:00[America/Chicago]","0.0","0.48"
"Spartan admin test","Test Adming GEt/spartans endpoint","IGNORED","2021-04-16T09:40:21.52-05:00[America/Chicago]","0.0","0.26"
"Spartan editor role post test","[1] E, male, 713302, 3","SUCCESS","2021-04-16T09:40:21.932-05:00[America/Chicago]","0.0","0.79"
"Spartan editor role post test","[2] Muhammad, Male, 123, 1","SUCCESS","2021-04-16T09:40:22.727-05:00[America/Chicago]","0.0","0.44"
"Spartan editor role post test","[3] Inci is from Batch 21, female, 7038142311, 2","SUCCESS","2021-04-16T09:40:23.167-05:00[America/Chicago]","0.0","0.44"
"Spartan editor role post test","Editor Should be able Post Valid Data","SUCCESS","2021-04-16T09:40:23.608-05:00[America/Chicago]","0.0","1.21"
"Spartan editor role post test","[1] Ercan Civi, Male, 7133306302","SUCCESS","2021-04-16T09:40:24.818-05:00[America/Chicago]","0.0","0.65"
"Spartan editor role post test","[2] Muhammad, Male, 9293215645","SUCCESS","2021-04-16T09:40:25.472-05:00[America/Chicago]","0.0","0.48"
"Spartan editor role post test","[3] Inci, Female, 7038142311","SUCCESS","2021-04-16T09:40:25.957-05:00[America/Chicago]","0.0","0.52"
"Spartan user role test","Test {1}  ","SUCCESS","2021-04-16T09:40:26.557-05:00[America/Chicago]","0.0","0.64"
"Spartan user role test","Test {2}  ","SUCCESS","2021-04-16T09:40:27.199-05:00[America/Chicago]","0.0","0.56"
"Spartan user role test","Test {3}  ","SUCCESS","2021-04-16T09:40:27.756-05:00[America/Chicago]","0.0","0.38"
"Spartan user role test","Test {4}  ","SUCCESS","2021-04-16T09:40:28.142-05:00[America/Chicago]","0.0","0.47"
"Spartan user role test","Test {5}  ","SUCCESS","2021-04-16T09:40:28.614-05:00[America/Chicago]","0.0","0.4"
"Spartan user role test","Test {6}  ","SUCCESS","2021-04-16T09:40:29.017-05:00[America/Chicago]","0.0","0.48"
